p,v,cp,rcp,a,ba,sa,hl,pcp,t
15750.0,509200,250.0,0.0,,10381600.0,9377200.0,False,-100.0,14:45:01
15850.0,1000,350.0,0.0,BU,10381600.0,9377200.0,False,0.0,14:29:58
15850.0,100,350.0,0.0,BU,10380600.0,9377200.0,False,0.0,14:29:58
15850.0,800,350.0,0.0,BU,10380500.0,9377200.0,False,0.0,14:29:57
15850.0,200,350.0,0.0,BU,10379700.0,9377200.0,False,0.0,14:29:57
15850.0,100,350.0,0.0,BU,10379500.0,9377200.0,False,0.0,14:29:56
15850.0,300,350.0,0.0,BU,10379400.0,9377200.0,False,50.0,14:29:56
15800.0,200,300.0,0.0,SD,10379100.0,9377200.0,False,-50.0,14:29:54
15850.0,400,350.0,0.0,BU,10379100.0,9377000.0,False,50.0,14:29:53
15800.0,28900,300.0,0.0,SD,10378700.0,9377000.0,True,0.0,14:29:52
15800.0,1000,300.0,0.0,SD,10378700.0,9348100.0,False,0.0,14:29:52
15800.0,100,300.0,0.0,SD,10378700.0,9347100.0,False,-50.0,14:29:52
15850.0,600,350.0,0.0,BU,10378700.0,9347000.0,False,0.0,14:29:52
15850.0,1400,350.0,0.0,BU,10378100.0,9347000.0,False,0.0,14:29:51
15850.0,600,350.0,0.0,BU,10376700.0,9347000.0,False,50.0,14:29:51
15800.0,100,300.0,0.0,SD,10376100.0,9347000.0,False,0.0,14:29:49
15800.0,900,300.0,0.0,SD,10376100.0,9346900.0,False,-50.0,14:29:49
15850.0,200,350.0,0.0,BU,10376100.0,9346000.0,False,50.0,14:29:48
15800.0,100,300.0,0.0,SD,10375900.0,9346000.0,False,-50.0,14:29:44
15850.0,200,350.0,0.0,BU,10375900.0,9345900.0,False,0.0,14:29:43
15850.0,5700,350.0,0.0,BU,10375700.0,9345900.0,False,0.0,14:29:43
15850.0,1000,350.0,0.0,SD,10370000.0,9345900.0,False,0.0,14:29:41
15850.0,500,350.0,0.0,SD,10370000.0,9344900.0,False,0.0,14:29:40
15850.0,10500,350.0,0.0,SD,10370000.0,9344400.0,False,0.0,14:29:39
15850.0,500,350.0,0.0,SD,10370000.0,9333900.0,False,0.0,14:29:38
15850.0,1000,350.0,0.0,BU,10370000.0,9333400.0,False,0.0,14:29:37
15850.0,5000,350.0,0.0,BU,10369000.0,9333400.0,False,0.0,14:29:37
15850.0,10000,350.0,0.0,BU,10364000.0,9333400.0,False,0.0,14:29:37
15850.0,10000,350.0,0.0,BU,10354000.0,9333400.0,False,0.0,14:29:37
15850.0,1000,350.0,0.0,BU,10344000.0,9333400.0,False,0.0,14:29:37
15850.0,500,350.0,0.0,BU,10343000.0,9333400.0,False,0.0,14:29:37
15850.0,100,350.0,0.0,BU,10342500.0,9333400.0,False,0.0,14:29:37
15850.0,5000,350.0,0.0,BU,10342400.0,9333400.0,False,0.0,14:29:37
15850.0,400,350.0,0.0,BU,10337400.0,9333400.0,False,0.0,14:29:37
15850.0,300,350.0,0.0,BU,10337000.0,9333400.0,False,0.0,14:29:37
15850.0,100,350.0,0.0,BU,10336700.0,9333400.0,False,0.0,14:29:37
15850.0,300,350.0,0.0,BU,10336600.0,9333400.0,False,0.0,14:29:37
15850.0,400,350.0,0.0,BU,10336300.0,9333400.0,False,0.0,14:29:37
15850.0,1800,350.0,0.0,BU,10335900.0,9333400.0,False,0.0,14:29:37
15850.0,400,350.0,0.0,BU,10334100.0,9333400.0,False,0.0,14:29:37
15850.0,2500,350.0,0.0,BU,10333700.0,9333400.0,False,0.0,14:29:37
15850.0,3000,350.0,0.0,BU,10331200.0,9333400.0,False,50.0,14:29:37
15800.0,100,300.0,0.0,SD,10328200.0,9333400.0,False,0.0,14:29:37
15800.0,900,300.0,0.0,SD,10328200.0,9333300.0,False,-50.0,14:29:37
15850.0,500,350.0,0.0,BU,10328200.0,9332400.0,False,50.0,14:29:32
15800.0,1000,300.0,0.0,SD,10327700.0,9332400.0,False,0.0,14:29:31
15800.0,200,300.0,0.0,SD,10327700.0,9331400.0,False,0.0,14:29:24
15800.0,2000,300.0,0.0,SD,10327700.0,9331200.0,False,0.0,14:29:23
15800.0,800,300.0,0.0,SD,10327700.0,9329200.0,False,0.0,14:29:22
15800.0,100,300.0,0.0,SD,10327700.0,9328400.0,False,0.0,14:29:22
15800.0,500,300.0,0.0,SD,10327700.0,9328300.0,False,0.0,14:29:19
15800.0,300,300.0,0.0,SD,10327700.0,9327800.0,False,0.0,14:29:19
15800.0,200,300.0,0.0,SD,10327700.0,9327500.0,False,0.0,14:29:19
15800.0,1800,300.0,0.0,SD,10327700.0,9327300.0,False,0.0,14:29:19
15800.0,100,300.0,0.0,SD,10327700.0,9325500.0,False,0.0,14:29:19
15800.0,500,300.0,0.0,SD,10327700.0,9325400.0,False,0.0,14:29:19
15800.0,500,300.0,0.0,SD,10327700.0,9324900.0,False,0.0,14:29:19
15800.0,1100,300.0,0.0,SD,10327700.0,9324400.0,False,50.0,14:29:19
15750.0,200,250.0,0.0,SD,10327700.0,9323300.0,False,0.0,14:29:18
15750.0,2300,250.0,0.0,SD,10327700.0,9323100.0,False,0.0,14:29:17
15750.0,3800,250.0,0.0,SD,10327700.0,9320800.0,False,0.0,14:29:17
15750.0,1000,250.0,0.0,SD,10327700.0,9317000.0,False,0.0,14:29:17
15750.0,2600,250.0,0.0,SD,10327700.0,9316000.0,False,0.0,14:29:17
15750.0,100,250.0,0.0,SD,10327700.0,9313400.0,False,0.0,14:29:17
15750.0,200,250.0,0.0,SD,10327700.0,9313300.0,False,-50.0,14:29:17
15800.0,100,300.0,0.0,BU,10327700.0,9313100.0,False,0.0,14:29:17
15800.0,8800,300.0,0.0,BU,10327600.0,9313100.0,False,0.0,14:29:17
15800.0,800,300.0,0.0,BU,10318800.0,9313100.0,False,0.0,14:29:17
15800.0,500,300.0,0.0,BU,10318000.0,9313100.0,False,0.0,14:29:16
15800.0,500,300.0,0.0,BU,10317500.0,9313100.0,False,50.0,14:29:16
15750.0,1000,250.0,0.0,SD,10317000.0,9313100.0,False,0.0,14:29:15
15750.0,800,250.0,0.0,SD,10317000.0,9312100.0,False,0.0,14:29:15
15750.0,500,250.0,0.0,SD,10317000.0,9311300.0,False,0.0,14:29:15
15750.0,1000,250.0,0.0,SD,10317000.0,9310800.0,False,0.0,14:29:15
15750.0,700,250.0,0.0,SD,10317000.0,9309800.0,False,-50.0,14:29:15
15800.0,200,300.0,0.0,BU,10317000.0,9309100.0,False,0.0,14:29:14
15800.0,2000,300.0,0.0,BU,10316800.0,9309100.0,False,0.0,14:29:14
15800.0,500,300.0,0.0,BU,10314800.0,9309100.0,False,0.0,14:29:14
15800.0,3200,300.0,0.0,BU,10314300.0,9309100.0,False,0.0,14:29:14
15800.0,5000,300.0,0.0,BU,10311100.0,9309100.0,False,0.0,14:29:14
15800.0,3000,300.0,0.0,BU,10306100.0,9309100.0,False,0.0,14:29:14
15800.0,1000,300.0,0.0,BU,10303100.0,9309100.0,False,0.0,14:29:14
15800.0,1000,300.0,0.0,BU,10302100.0,9309100.0,False,0.0,14:29:14
15800.0,1000,300.0,0.0,BU,10301100.0,9309100.0,False,0.0,14:29:14
15800.0,200,300.0,0.0,BU,10300100.0,9309100.0,False,0.0,14:29:14
15800.0,1000,300.0,0.0,BU,10299900.0,9309100.0,False,0.0,14:29:14
15800.0,500,300.0,0.0,BU,10298900.0,9309100.0,False,0.0,14:29:14
15800.0,100,300.0,0.0,BU,10298400.0,9309100.0,False,0.0,14:29:14
15800.0,100,300.0,0.0,BU,10298300.0,9309100.0,False,0.0,14:29:14
15800.0,3000,300.0,0.0,BU,10298200.0,9309100.0,False,0.0,14:29:14
15800.0,5000,300.0,0.0,BU,10295200.0,9309100.0,False,0.0,14:29:14
15800.0,700,300.0,0.0,BU,10290200.0,9309100.0,False,0.0,14:29:14
15800.0,500,300.0,0.0,BU,10289500.0,9309100.0,False,0.0,14:29:14
15800.0,2000,300.0,0.0,BU,10289000.0,9309100.0,False,0.0,14:29:14
15800.0,5000,300.0,0.0,BU,10287000.0,9309100.0,False,0.0,14:29:13
15800.0,1200,300.0,0.0,BU,10282000.0,9309100.0,False,50.0,14:29:12
15750.0,500,250.0,0.0,SD,10280800.0,9309100.0,False,-50.0,14:29:12
15800.0,3600,300.0,0.0,BU,10280800.0,9308600.0,False,0.0,14:29:11
15800.0,5000,300.0,0.0,BU,10277200.0,9308600.0,False,0.0,14:29:11
15800.0,5800,300.0,0.0,BU,10272200.0,9308600.0,False,0.0,14:29:11
15800.0,500,300.0,0.0,BU,10266400.0,9308600.0,False,0.0,14:29:11
15800.0,500,300.0,0.0,BU,10265900.0,9308600.0,False,0.0,14:29:11
15800.0,4600,300.0,0.0,BU,10265400.0,9308600.0,False,0.0,14:29:11
15800.0,300,300.0,0.0,BU,10260800.0,9308600.0,False,50.0,14:29:10
15750.0,800,250.0,0.0,SD,10260500.0,9308600.0,False,0.0,14:29:06
15750.0,200,250.0,0.0,SD,10260500.0,9307800.0,False,-50.0,14:29:06
15800.0,100,300.0,0.0,BU,10260500.0,9307600.0,False,0.0,14:29:05
15800.0,400,300.0,0.0,BU,10260400.0,9307600.0,False,0.0,14:29:05
15800.0,100,300.0,0.0,BU,10260000.0,9307600.0,False,0.0,14:29:05
15800.0,100,300.0,0.0,BU,10259900.0,9307600.0,False,0.0,14:29:05
15800.0,3000,300.0,0.0,BU,10259800.0,9307600.0,False,0.0,14:29:03
15800.0,3800,300.0,0.0,BU,10256800.0,9307600.0,False,0.0,14:29:01
15800.0,300,300.0,0.0,BU,10253000.0,9307600.0,False,0.0,14:28:58
15800.0,300,300.0,0.0,BU,10252700.0,9307600.0,False,0.0,14:28:57
15800.0,1700,300.0,0.0,BU,10252400.0,9307600.0,False,0.0,14:28:57
15800.0,100,300.0,0.0,BU,10250700.0,9307600.0,False,0.0,14:28:54
15800.0,200,300.0,0.0,BU,10250600.0,9307600.0,False,0.0,14:28:54
15800.0,300,300.0,0.0,BU,10250400.0,9307600.0,False,0.0,14:28:54
15800.0,400,300.0,0.0,BU,10250100.0,9307600.0,False,50.0,14:28:53
15750.0,100,250.0,0.0,SD,10249700.0,9307600.0,False,0.0,14:28:52
15750.0,1200,250.0,0.0,SD,10249700.0,9307500.0,False,0.0,14:28:52
15750.0,100,250.0,0.0,SD,10249700.0,9306300.0,False,0.0,14:28:52
15750.0,900,250.0,0.0,SD,10249700.0,9306200.0,False,-50.0,14:28:52
15800.0,300,300.0,0.0,BU,10249700.0,9305300.0,False,0.0,14:28:43
15800.0,1000,300.0,0.0,BU,10249400.0,9305300.0,False,0.0,14:28:43
15800.0,700,300.0,0.0,BU,10248400.0,9305300.0,False,0.0,14:28:43
15800.0,500,300.0,0.0,BU,10247700.0,9305300.0,False,0.0,14:28:41
15800.0,300,300.0,0.0,BU,10247200.0,9305300.0,False,0.0,14:28:41
15800.0,1000,300.0,0.0,BU,10246900.0,9305300.0,False,0.0,14:28:41
15800.0,700,300.0,0.0,BU,10245900.0,9305300.0,False,50.0,14:28:41
15750.0,100,250.0,0.0,SD,10245200.0,9305300.0,False,0.0,14:28:38
15750.0,100,250.0,0.0,SD,10245200.0,9305200.0,False,-50.0,14:28:38
15800.0,500,300.0,0.0,BU,10245200.0,9305100.0,False,0.0,14:28:38
15800.0,800,300.0,0.0,BU,10244700.0,9305100.0,False,0.0,14:28:37
15800.0,2200,300.0,0.0,BU,10243900.0,9305100.0,False,0.0,14:28:37
15800.0,2000,300.0,0.0,BU,10241700.0,9305100.0,False,50.0,14:28:33
15750.0,4700,250.0,0.0,SD,10239700.0,9305100.0,False,0.0,14:28:30
15750.0,43600,250.0,0.0,SD,10239700.0,9300400.0,True,0.0,14:28:30
15750.0,200,250.0,0.0,SD,10239700.0,9256800.0,False,0.0,14:28:30
15750.0,1500,250.0,0.0,SD,10239700.0,9256600.0,False,0.0,14:28:30
15750.0,500,250.0,0.0,SD,10239700.0,9255100.0,False,-50.0,14:28:27
15800.0,400,300.0,0.0,BU,10239700.0,9254600.0,False,50.0,14:28:24
15750.0,1000,250.0,0.0,SD,10239300.0,9254600.0,False,0.0,14:28:24
15750.0,2000,250.0,0.0,SD,10239300.0,9253600.0,False,0.0,14:28:24
15750.0,500,250.0,0.0,SD,10239300.0,9251600.0,False,0.0,14:28:24
15750.0,1500,250.0,0.0,SD,10239300.0,9251100.0,False,-50.0,14:28:24
15800.0,1000,300.0,0.0,BU,10239300.0,9249600.0,False,0.0,14:28:21
15800.0,100,300.0,0.0,BU,10238300.0,9249600.0,False,50.0,14:28:21
15750.0,1500,250.0,0.0,SD,10238200.0,9249600.0,False,-50.0,14:28:20
15800.0,1000,300.0,0.0,BU,10238200.0,9248100.0,False,0.0,14:28:19
15800.0,1000,300.0,0.0,BU,10237200.0,9248100.0,False,0.0,14:28:19
15800.0,200,300.0,0.0,BU,10236200.0,9248100.0,False,50.0,14:28:15
15750.0,3300,250.0,0.0,SD,10236000.0,9248100.0,False,0.0,14:28:15
15750.0,1000,250.0,0.0,SD,10236000.0,9244800.0,False,0.0,14:28:15
15750.0,700,250.0,0.0,SD,10236000.0,9243800.0,False,0.0,14:28:15
15750.0,1000,250.0,0.0,SD,10236000.0,9243100.0,False,-50.0,14:28:14
15800.0,100,300.0,0.0,BU,10236000.0,9242100.0,False,50.0,14:28:14
15750.0,200,250.0,0.0,SD,10235900.0,9242100.0,False,-50.0,14:28:11
15800.0,800,300.0,0.0,BU,10235900.0,9241900.0,False,50.0,14:28:10
15750.0,400,250.0,0.0,SD,10235100.0,9241900.0,False,-50.0,14:28:04
15800.0,100,300.0,0.0,BU,10235100.0,9241500.0,False,0.0,14:28:02
15800.0,100,300.0,0.0,BU,10235000.0,9241500.0,False,0.0,14:28:02
15800.0,200,300.0,0.0,BU,10234900.0,9241500.0,False,50.0,14:27:58
15750.0,700,250.0,0.0,SD,10234700.0,9241500.0,False,0.0,14:27:52
15750.0,1000,250.0,0.0,SD,10234700.0,9240800.0,False,0.0,14:27:52
15750.0,300,250.0,0.0,SD,10234700.0,9239800.0,False,0.0,14:27:52
15750.0,1700,250.0,0.0,SD,10234700.0,9239500.0,False,0.0,14:27:50
15750.0,100,250.0,0.0,SD,10234700.0,9237800.0,False,0.0,14:27:50
15750.0,2000,250.0,0.0,SD,10234700.0,9237700.0,False,0.0,14:27:50
15750.0,2000,250.0,0.0,SD,10234700.0,9235700.0,False,0.0,14:27:50
15750.0,3000,250.0,0.0,SD,10234700.0,9233700.0,False,0.0,14:27:50
15750.0,1200,250.0,0.0,SD,10234700.0,9230700.0,False,-50.0,14:27:50
15800.0,10800,300.0,0.0,BU,10234700.0,9229500.0,False,0.0,14:27:47
15800.0,5200,300.0,0.0,BU,10223900.0,9229500.0,False,50.0,14:27:47
15750.0,10000,250.0,0.0,SD,10218700.0,9229500.0,False,0.0,14:27:47
15750.0,800,250.0,0.0,SD,10218700.0,9219500.0,False,0.0,14:27:46
15750.0,500,250.0,0.0,SD,10218700.0,9218700.0,False,0.0,14:27:46
15750.0,4000,250.0,0.0,SD,10218700.0,9218200.0,False,0.0,14:27:46
15750.0,1000,250.0,0.0,SD,10218700.0,9214200.0,False,0.0,14:27:46
15750.0,200,250.0,0.0,SD,10218700.0,9213200.0,False,0.0,14:27:46
15750.0,100,250.0,0.0,SD,10218700.0,9213000.0,False,0.0,14:27:46
15750.0,100,250.0,0.0,SD,10218700.0,9212900.0,False,0.0,14:27:46
15750.0,400,250.0,0.0,SD,10218700.0,9212800.0,False,0.0,14:27:46
15750.0,300,250.0,0.0,SD,10218700.0,9212400.0,False,0.0,14:27:46
15750.0,200,250.0,0.0,SD,10218700.0,9212100.0,False,0.0,14:27:46
15750.0,4400,250.0,0.0,SD,10218700.0,9211900.0,False,0.0,14:27:46
15750.0,200,250.0,0.0,SD,10218700.0,9207500.0,False,0.0,14:27:46
15750.0,5400,250.0,0.0,SD,10218700.0,9207300.0,False,0.0,14:27:45
15750.0,100,250.0,0.0,SD,10218700.0,9201900.0,False,0.0,14:27:45
15750.0,200,250.0,0.0,SD,10218700.0,9201800.0,False,0.0,14:27:45
15750.0,1000,250.0,0.0,SD,10218700.0,9201600.0,False,0.0,14:27:45
15750.0,200,250.0,0.0,SD,10218700.0,9200600.0,False,0.0,14:27:45
15750.0,100,250.0,0.0,SD,10218700.0,9200400.0,False,-50.0,14:27:45
15800.0,1000,300.0,0.0,BU,10218700.0,9200300.0,False,50.0,14:27:39
15750.0,200,250.0,0.0,SD,10217700.0,9200300.0,False,0.0,14:27:34
15750.0,1000,250.0,0.0,SD,10217700.0,9200100.0,False,0.0,14:27:32
15750.0,100,250.0,0.0,SD,10217700.0,9199100.0,False,-50.0,14:27:16
15800.0,100,300.0,0.0,BU,10217700.0,9199000.0,False,50.0,14:27:13
15750.0,500,250.0,0.0,SD,10217600.0,9199000.0,False,0.0,14:27:09
15750.0,1000,250.0,0.0,SD,10217600.0,9198500.0,False,0.0,14:27:03
15750.0,100,250.0,0.0,SD,10217600.0,9197500.0,False,0.0,14:27:03
15750.0,500,250.0,0.0,SD,10217600.0,9197400.0,False,0.0,14:27:02
15750.0,400,250.0,0.0,SD,10217600.0,9196900.0,False,0.0,14:27:00
15750.0,2600,250.0,0.0,SD,10217600.0,9196500.0,False,0.0,14:27:00
15750.0,1000,250.0,0.0,SD,10217600.0,9193900.0,False,0.0,14:26:58
15750.0,2000,250.0,0.0,SD,10217600.0,9192900.0,False,0.0,14:26:57
15750.0,6400,250.0,0.0,SD,10217600.0,9190900.0,False,0.0,14:26:57
15750.0,100,250.0,0.0,SD,10217600.0,9184500.0,False,0.0,14:26:57
15750.0,5000,250.0,0.0,SD,10217600.0,9184400.0,False,0.0,14:26:57
15750.0,300,250.0,0.0,SD,10217600.0,9179400.0,False,0.0,14:26:57
15750.0,1000,250.0,0.0,SD,10217600.0,9179100.0,False,0.0,14:26:57
15750.0,2000,250.0,0.0,SD,10217600.0,9178100.0,False,0.0,14:26:57
15750.0,1200,250.0,0.0,SD,10217600.0,9176100.0,False,0.0,14:26:57
15750.0,2000,250.0,0.0,SD,10217600.0,9174900.0,False,-50.0,14:26:57
15800.0,500,300.0,0.0,BU,10217600.0,9172900.0,False,50.0,14:26:57
15750.0,300,250.0,0.0,SD,10217100.0,9172900.0,False,-50.0,14:26:57
15800.0,300,300.0,0.0,BU,10217100.0,9172600.0,False,50.0,14:26:55
15750.0,3500,250.0,0.0,SD,10216800.0,9172600.0,False,0.0,14:26:52
15750.0,6500,250.0,0.0,SD,10216800.0,9169100.0,False,-50.0,14:26:52
15800.0,600,300.0,0.0,BU,10216800.0,9162600.0,False,50.0,14:26:51
15750.0,5000,250.0,0.0,SD,10216200.0,9162600.0,False,0.0,14:26:51
15750.0,6600,250.0,0.0,SD,10216200.0,9157600.0,False,-50.0,14:26:46
15800.0,400,300.0,0.0,BU,10216200.0,9151000.0,False,50.0,14:26:43
15750.0,1000,250.0,0.0,SD,10215800.0,9151000.0,False,0.0,14:26:42
15750.0,500,250.0,0.0,SD,10215800.0,9150000.0,False,0.0,14:26:42
15750.0,100,250.0,0.0,SD,10215800.0,9149500.0,False,0.0,14:26:42
15750.0,300,250.0,0.0,SD,10215800.0,9149400.0,False,0.0,14:26:42
15750.0,400,250.0,0.0,SD,10215800.0,9149100.0,False,0.0,14:26:42
15750.0,300,250.0,0.0,SD,10215800.0,9148700.0,False,0.0,14:26:42
15750.0,300,250.0,0.0,SD,10215800.0,9148400.0,False,0.0,14:26:42
15750.0,100,250.0,0.0,SD,10215800.0,9148100.0,False,0.0,14:26:42
15750.0,500,250.0,0.0,SD,10215800.0,9148000.0,False,0.0,14:26:42
15750.0,1200,250.0,0.0,SD,10215800.0,9147500.0,False,0.0,14:26:42
15750.0,300,250.0,0.0,SD,10215800.0,9146300.0,False,0.0,14:26:42
15750.0,100,250.0,0.0,SD,10215800.0,9146000.0,False,0.0,14:26:41
15750.0,100,250.0,0.0,SD,10215800.0,9145900.0,False,0.0,14:26:41
15750.0,200,250.0,0.0,SD,10215800.0,9145800.0,False,0.0,14:26:41
15750.0,100,250.0,0.0,SD,10215800.0,9145600.0,False,0.0,14:26:41
15750.0,700,250.0,0.0,SD,10215800.0,9145500.0,False,0.0,14:26:40
15750.0,1000,250.0,0.0,SD,10215800.0,9144800.0,False,0.0,14:26:40
15750.0,300,250.0,0.0,SD,10215800.0,9143800.0,False,0.0,14:26:40
15750.0,200,250.0,0.0,SD,10215800.0,9143500.0,False,0.0,14:26:35
15750.0,100,250.0,0.0,SD,10215800.0,9143300.0,False,0.0,14:26:33
15750.0,200,250.0,0.0,SD,10215800.0,9143200.0,False,0.0,14:26:28
15750.0,4000,250.0,0.0,SD,10215800.0,9143000.0,False,0.0,14:26:24
15750.0,1200,250.0,0.0,SD,10215800.0,9139000.0,False,0.0,14:26:23
15750.0,500,250.0,0.0,SD,10215800.0,9137800.0,False,0.0,14:26:23
15750.0,8300,250.0,0.0,SD,10215800.0,9137300.0,False,0.0,14:26:23
15750.0,1700,250.0,0.0,SD,10215800.0,9129000.0,False,0.0,14:26:22
15750.0,1000,250.0,0.0,SD,10215800.0,9127300.0,False,0.0,14:26:22
15750.0,100,250.0,0.0,SD,10215800.0,9126300.0,False,0.0,14:26:22
15750.0,2200,250.0,0.0,SD,10215800.0,9126200.0,False,0.0,14:26:22
15750.0,5000,250.0,0.0,SD,10215800.0,9124000.0,False,0.0,14:26:19
15750.0,100,250.0,0.0,SD,10215800.0,9119000.0,False,0.0,14:26:12
15750.0,100,250.0,0.0,SD,10215800.0,9118900.0,False,0.0,14:26:10
15750.0,100,250.0,0.0,SD,10215800.0,9118800.0,False,0.0,14:26:08
15750.0,1000,250.0,0.0,SD,10215800.0,9118700.0,False,0.0,14:26:08
15750.0,100,250.0,0.0,SD,10215800.0,9117700.0,False,0.0,14:26:08
15750.0,200,250.0,0.0,SD,10215800.0,9117600.0,False,0.0,14:26:08
15750.0,100,250.0,0.0,SD,10215800.0,9117400.0,False,0.0,14:26:06
15750.0,100,250.0,0.0,SD,10215800.0,9117300.0,False,0.0,14:26:06
15750.0,300,250.0,0.0,SD,10215800.0,9117200.0,False,0.0,14:26:06
15750.0,200,250.0,0.0,SD,10215800.0,9116900.0,False,0.0,14:26:04
15750.0,200,250.0,0.0,SD,10215800.0,9116700.0,False,0.0,14:26:02
15750.0,200,250.0,0.0,SD,10215800.0,9116500.0,False,0.0,14:25:59
15750.0,300,250.0,0.0,SD,10215800.0,9116300.0,False,0.0,14:25:55
15750.0,700,250.0,0.0,SD,10215800.0,9116000.0,False,0.0,14:25:55
15750.0,300,250.0,0.0,BU,10215800.0,9115300.0,False,0.0,14:25:50
15750.0,1000,250.0,0.0,BU,10215500.0,9115300.0,False,0.0,14:25:50
15750.0,400,250.0,0.0,BU,10214500.0,9115300.0,False,0.0,14:25:49
15750.0,600,250.0,0.0,BU,10214100.0,9115300.0,False,0.0,14:25:49
15750.0,200,250.0,0.0,BU,10213500.0,9115300.0,False,0.0,14:25:48
15750.0,1200,250.0,0.0,BU,10213300.0,9115300.0,False,-50.0,14:25:45
15800.0,2000,300.0,0.0,BU,10212100.0,9115300.0,False,0.0,14:25:43
15800.0,1900,300.0,0.0,BU,10210100.0,9115300.0,False,0.0,14:25:43
15800.0,1000,300.0,0.0,BU,10208200.0,9115300.0,False,0.0,14:25:43
15800.0,5000,300.0,0.0,BU,10207200.0,9115300.0,False,0.0,14:25:43
15800.0,500,300.0,0.0,BU,10202200.0,9115300.0,False,0.0,14:25:43
15800.0,600,300.0,0.0,BU,10201700.0,9115300.0,False,0.0,14:25:43
15800.0,20300,300.0,0.0,BU,10201100.0,9115300.0,True,50.0,14:25:43
15750.0,500,250.0,0.0,BU,10180800.0,9115300.0,False,0.0,14:25:43
15750.0,300,250.0,0.0,BU,10180300.0,9115300.0,False,0.0,14:25:42
15750.0,1000,250.0,0.0,BU,10180000.0,9115300.0,False,50.0,14:25:37
15700.0,5300,200.0,0.0,SD,10179000.0,9115300.0,False,0.0,14:25:37
15700.0,1000,200.0,0.0,SD,10179000.0,9110000.0,False,0.0,14:25:37
15700.0,1000,200.0,0.0,SD,10179000.0,9109000.0,False,0.0,14:25:37
15700.0,12700,200.0,0.0,SD,10179000.0,9108000.0,False,-50.0,14:25:37
15750.0,200,250.0,0.0,BU,10179000.0,9095300.0,False,0.0,14:25:37
15750.0,300,250.0,0.0,BU,10178800.0,9095300.0,False,0.0,14:25:37
15750.0,700,250.0,0.0,BU,10178500.0,9095300.0,False,0.0,14:25:37
15750.0,3500,250.0,0.0,SD,10177800.0,9095300.0,False,0.0,14:25:36
15750.0,500,250.0,0.0,SD,10177800.0,9091800.0,False,0.0,14:25:36
15750.0,400,250.0,0.0,SD,10177800.0,9091300.0,False,0.0,14:25:36
15750.0,1000,250.0,0.0,SD,10177800.0,9090900.0,False,0.0,14:25:36
15750.0,9500,250.0,0.0,SD,10177800.0,9089900.0,False,0.0,14:25:36
15750.0,100,250.0,0.0,SD,10177800.0,9080400.0,False,0.0,14:25:36
15750.0,2000,250.0,0.0,SD,10177800.0,9080300.0,False,0.0,14:25:36
15750.0,1000,250.0,0.0,SD,10177800.0,9078300.0,False,0.0,14:25:36
15750.0,1900,250.0,0.0,SD,10177800.0,9077300.0,False,0.0,14:25:36
15750.0,500,250.0,0.0,SD,10177800.0,9075400.0,False,0.0,14:25:36
15750.0,200,250.0,0.0,SD,10177800.0,9074900.0,False,0.0,14:25:36
15750.0,4900,250.0,0.0,SD,10177800.0,9074700.0,False,0.0,14:25:36
15750.0,500,250.0,0.0,SD,10177800.0,9069800.0,False,0.0,14:25:36
15750.0,4600,250.0,0.0,SD,10177800.0,9069300.0,False,0.0,14:25:27
15750.0,400,250.0,0.0,SD,10177800.0,9064700.0,False,-50.0,14:25:27
15800.0,100,300.0,0.0,BU,10177800.0,9064300.0,False,50.0,14:25:23
15750.0,600,250.0,0.0,SD,10177700.0,9064300.0,False,0.0,14:25:21
15750.0,400,250.0,0.0,SD,10177700.0,9063700.0,False,0.0,14:25:21
15750.0,1000,250.0,0.0,SD,10177700.0,9063300.0,False,0.0,14:25:18
15750.0,8600,250.0,0.0,SD,10177700.0,9062300.0,False,0.0,14:25:16
15750.0,1000,250.0,0.0,SD,10177700.0,9053700.0,False,0.0,14:25:16
15750.0,900,250.0,0.0,SD,10177700.0,9052700.0,False,0.0,14:25:16
15750.0,2400,250.0,0.0,SD,10177700.0,9051800.0,False,0.0,14:25:15
15750.0,1000,250.0,0.0,SD,10177700.0,9049400.0,False,0.0,14:25:15
15750.0,700,250.0,0.0,SD,10177700.0,9048400.0,False,0.0,14:25:15
15750.0,100,250.0,0.0,SD,10177700.0,9047700.0,False,0.0,14:25:15
15750.0,100,250.0,0.0,SD,10177700.0,9047600.0,False,0.0,14:25:15
15750.0,100,250.0,0.0,SD,10177700.0,9047500.0,False,0.0,14:25:15
15750.0,500,250.0,0.0,SD,10177700.0,9047400.0,False,0.0,14:25:15
15750.0,100,250.0,0.0,SD,10177700.0,9046900.0,False,0.0,14:25:15
15750.0,1300,250.0,0.0,SD,10177700.0,9046800.0,False,0.0,14:25:15
15750.0,3800,250.0,0.0,SD,10177700.0,9045500.0,False,0.0,14:25:15
15750.0,300,250.0,0.0,SD,10177700.0,9041700.0,False,0.0,14:25:15
15750.0,100,250.0,0.0,SD,10177700.0,9041400.0,False,0.0,14:25:15
15750.0,9500,250.0,0.0,SD,10177700.0,9041300.0,False,0.0,14:25:15
15750.0,1000,250.0,0.0,SD,10177700.0,9031800.0,False,0.0,14:25:14
15750.0,10000,250.0,0.0,SD,10177700.0,9030800.0,False,0.0,14:25:10
15750.0,10000,250.0,0.0,SD,10177700.0,9020800.0,False,0.0,14:25:08
